Type,Firm,Date,Time,Symbol,Side,Entry,Exit,Size,Stop,Target,Fees,Setup,Session,Tags,Notes,Account,Amount,Category,Received Via,Bank Received
trade,,2026-06-03,12:58,EURUSD,long,1.09564,1.09246,139884,1.09314,1.09937,6,SMT,New York PM,Revenge trade|Plan broken,Stopped to the tick before it ran. Entry was early.,Topstep 50K,,,,
trade,,2026-06-04,15:10,XAUUSD,short,2493.23,2473.94,103,2501.28,2472.81,7,Silver Bullet,London/NY Overlap,A+ setup|Plan followed,SMT divergence confirmed the reversal. Held to target.,Topstep 50K,,,,
trade,,2026-06-04,13:34,XAUUSD,short,2479.1,2466.37,118,2485.63,2467.97,7,Judas Swing,London/NY Overlap,Plan followed,"Clean sweep of Asia low, entered on the retrace.",Topstep 50K,,,,
trade,,2026-06-09,10:11,NQ,short,19812.57,19731.84,27,19849.92,19717.65,4.4,FVG,New York PM,Plan followed,SMT divergence confirmed the reversal. Held to target.,Apex 150K,,,,
trade,,2026-06-10,15:25,XAUUSD,long,2484.12,2479.86,142,2479.95,2490.97,7,Liquidity Sweep,New York PM,Plan followed,Moved my stop once. It cost me - never again.,Topstep 50K,,,,
trade,,2026-06-10,11:58,GBPUSD,short,1.30727,1.3097,148266,1.30979,1.29959,6,Silver Bullet,New York PM,Plan followed,Moved my stop once. It cost me - never again.,FTMO 100K,,,,
trade,,2026-06-12,09:30,GBPUSD,long,1.32366,1.32748,112703,1.32138,1.32774,6,Order Block,New York PM,A+ setup|Plan followed,A+ model. No hesitation on entry.,FTMO 100K,,,,
trade,,2026-06-15,10:10,GBPUSD,short,1.31621,1.31862,112566,1.3186,1.31016,6,Silver Bullet,New York AM,Plan followed,Chopped out in lunch hours - should not have been trading.,FTMO 100K,,,,
trade,,2026-06-18,10:36,NQ,long,19897.9,19879.22,17,19878.8,19948.99,4.4,SMT,London,Plan followed,Stopped to the tick before it ran. Entry was early.,Topstep 50K,,,,
trade,,2026-06-22,15:34,XAUUSD,long,2488.82,2482.21,66,2482.15,2507.19,7,FVG,London/NY Overlap,Plan followed,Stopped to the tick before it ran. Entry was early.,FTMO 100K,,,,
trade,,2026-06-22,09:55,XAUUSD,short,2514.18,2520.58,59,2520.34,2498.08,7,Silver Bullet,New York PM,Plan followed,News spike took the stop. Sized correctly so damage contained.,FTMO 100K,,,,
trade,,2026-06-22,13:34,ES,long,5629.15,5618.08,51,5618.18,5661.92,4.2,Judas Swing,London,Plan followed,News spike took the stop. Sized correctly so damage contained.,Topstep 50K,,,,
trade,,2026-06-30,09:06,XAUUSD,long,2484.6,2477.06,108,2477.24,2500.71,7,Liquidity Sweep,London,Plan followed,Moved my stop once. It cost me - never again.,,,,,
trade,,2026-07-02,07:23,EURUSD,short,1.09193,1.08636,91747,1.09465,1.08705,6,MSS,New York AM,A+ setup|Plan followed,"Clean sweep of Asia low, entered on the retrace.",FTMO 100K,,,,
trade,,2026-07-02,14:53,GBPUSD,short,1.31968,1.31646,147586,1.32143,1.31663,6,MSS,London/NY Overlap,Plan followed,Waited for the open drive to settle - textbook.,FTMO 100K,,,,
trade,,2026-07-06,13:47,ES,long,5583.92,5615.48,57,5572.29,5614.27,4.2,Order Block,New York PM,Plan followed,Waited for the open drive to settle - textbook.,FTMO 100K,,,,
trade,,2026-07-06,15:20,NQ,long,19973.25,19930.58,11,19928.49,20080.76,4.4,Judas Swing,London/NY Overlap,Plan followed,Stopped to the tick before it ran. Entry was early.,,,,,
trade,,2026-07-06,13:37,ES,long,5580.9,5572.47,111,5572.55,5601.61,4.2,SMT,London,Revenge trade|Plan broken,News spike took the stop. Sized correctly so damage contained.,Topstep 50K,,,,
trade,,2026-07-08,07:37,ES,short,5622.01,5630.35,61,5630.48,5603.65,4.2,Silver Bullet,London/NY Overlap,Plan followed,Moved my stop once. It cost me - never again.,Topstep 50K,,,,
trade,,2026-07-09,07:29,XAUUSD,short,2516.15,2489.55,141,2525.02,2489,7,MSS,London/NY Overlap,A+ setup|Plan followed,Waited for the open drive to settle - textbook.,,,,,
trade,,2026-07-09,10:16,EURUSD,long,1.08856,1.08725,76782,1.08725,1.09264,6,FVG,New York PM,Plan followed,Stopped to the tick before it ran. Entry was early.,FTMO 100K,,,,
trade,,2026-07-14,14:44,EURUSD,short,1.08865,1.08391,128183,1.09045,1.08404,6,Liquidity Sweep,New York PM,A+ setup|Plan followed,A+ model. No hesitation on entry.,Apex 150K,,,,
trade,,2026-07-16,14:54,ES,short,5636.81,5621.45,74,5642.33,5622.68,4.2,Liquidity Sweep,London/NY Overlap,Plan followed,Waited for the open drive to settle - textbook.,Topstep 50K,,,,
trade,,2026-07-20,13:51,NQ,short,20036.18,19999.62,20,20058.32,19998.29,4.4,SMT,New York AM,A+ setup|Plan followed,Waited for the open drive to settle - textbook.,,,,,
trade,,2026-07-22,11:54,XAUUSD,long,2501.35,2494.33,113,2494.54,2514.26,7,Judas Swing,London/NY Overlap,Plan followed,Stopped to the tick before it ran. Entry was early.,Topstep 50K,,,,
trade,,2026-07-22,10:22,GBPUSD,short,1.31375,1.30886,136594,1.31549,1.30869,6,Liquidity Sweep,London/NY Overlap,A+ setup|Plan followed,A+ model. No hesitation on entry.,Topstep 50K,,,,
trade,,2026-07-22,12:14,XAUUSD,short,2484.41,2474.61,150,2487.93,2473.93,7,Order Block,London/NY Overlap,A+ setup|Plan followed,A+ model. No hesitation on entry.,FTMO 100K,,,,
trade,,2026-07-23,12:13,EURUSD,long,1.09247,1.09044,98983,1.09044,1.09748,6,SMT,New York PM,Plan followed,Stopped to the tick before it ran. Entry was early.,Apex 150K,,,,
trade,,2026-07-28,09:37,XAUUSD,short,2509.57,2503.21,98,2512.75,2502.27,7,SMT,London/NY Overlap,Plan followed,"Clean sweep of Asia low, entered on the retrace.",Topstep 50K,,,,
trade,,2026-07-30,13:44,NQ,long,19765.05,19842.89,22,19725.85,19852.57,4.4,Judas Swing,London/NY Overlap,A+ setup|Plan followed,"Partialed at 2R, runner to full target.",,,,,
trade,,2026-07-30,15:43,GBPUSD,long,1.30617,1.31005,146882,1.30455,1.30991,6,SMT,London,A+ setup|Plan followed,Waited for the open drive to settle - textbook.,,,,,
trade,,2026-07-31,12:02,EURUSD,short,1.10185,1.10487,87465,1.10484,1.09334,6,Order Block,New York PM,Plan followed,Chopped out in lunch hours - should not have been trading.,FTMO 100K,,,,
trade,,2026-07-31,10:19,EURUSD,long,1.10269,1.10456,146957,1.10145,1.10475,6,Order Block,New York AM,Plan followed,"Clean sweep of Asia low, entered on the retrace.",,,,,
trade,,2026-07-31,10:13,XAUUSD,short,2482.28,2490.26,76,2490.09,2459.56,7,Order Block,New York PM,Plan followed,Moved my stop once. It cost me - never again.,,,,,
trade,,2026-08-04,12:23,NQ,long,19676.8,19773.81,11,19635.18,19765.04,4.4,Judas Swing,London,Plan followed,"Clean sweep of Asia low, entered on the retrace.",FTMO 100K,,,,
trade,,2026-08-04,11:13,NQ,long,19848.92,19975.16,17,19805.77,19979.21,4.4,MSS,New York AM,Plan followed,A+ model. No hesitation on entry.,FTMO 100K,,,,
trade,,2026-08-05,08:28,GBPUSD,short,1.30744,1.30926,73293,1.30917,1.30456,6,Liquidity Sweep,New York PM,Plan followed,News spike took the stop. Sized correctly so damage contained.,Topstep 50K,,,,
trade,,2026-08-07,12:13,NQ,long,19901.62,19996.98,18,19873.6,19987.27,4.4,Silver Bullet,London/NY Overlap,A+ setup|Plan followed,SMT divergence confirmed the reversal. Held to target.,,,,,
trade,,2026-08-07,08:29,EURUSD,long,1.09019,1.08802,96054,1.08796,1.09433,6,Order Block,New York AM,Plan followed,Chopped out in lunch hours - should not have been trading.,FTMO 100K,,,,
trade,,2026-08-11,09:33,XAUUSD,short,2479.32,2484.85,133,2485.07,2470.36,7,SMT,New York PM,Plan followed,News spike took the stop. Sized correctly so damage contained.,Topstep 50K,,,,
trade,,2026-08-12,15:42,ES,short,5594.44,5604.28,31,5604.59,5565.58,4.2,MSS,New York AM,Plan followed,Forced a trade with no real setup.,Topstep 50K,,,,
trade,,2026-08-12,07:03,GBPUSD,long,1.32299,1.31839,73402,1.31974,1.33184,6,Order Block,London/NY Overlap,Plan broken,Moved my stop once. It cost me - never again.,Topstep 50K,,,,
trade,,2026-08-13,08:06,GBPUSD,long,1.32116,1.32863,81619,1.31869,1.32814,6,SMT,New York PM,A+ setup|Plan followed,"Partialed at 2R, runner to full target.",Topstep 50K,,,,
trade,,2026-08-14,09:29,ES,long,5578.68,5588.78,29,5574.52,5590.3,4.2,SMT,London/NY Overlap,A+ setup|Plan followed,SMT divergence confirmed the reversal. Held to target.,Topstep 50K,,,,
trade,,2026-08-14,07:11,XAUUSD,long,2478.08,2497.13,58,2469.15,2499.84,7,Liquidity Sweep,London,Plan followed,SMT divergence confirmed the reversal. Held to target.,Apex 150K,,,,
trade,,2026-08-17,11:25,NQ,long,19882.87,19838.55,30,19855.74,19924.13,4.4,FVG,London/NY Overlap,Plan broken,Forced a trade with no real setup.,Topstep 50K,,,,
trade,,2026-08-19,08:54,XAUUSD,long,2489.01,2484.55,144,2484.73,2496.42,7,Liquidity Sweep,New York AM,Plan followed,Chopped out in lunch hours - should not have been trading.,FTMO 100K,,,,
trade,,2026-08-19,07:45,XAUUSD,short,2509.98,2505.19,101,2513.24,2504.53,7,MSS,New York PM,Plan followed,"Partialed at 2R, runner to full target.",Apex 150K,,,,
trade,,2026-08-20,08:53,EURUSD,long,1.08622,1.09465,95115,1.08328,1.09449,6,Judas Swing,New York AM,Plan followed,"Clean sweep of Asia low, entered on the retrace.",,,,,
trade,,2026-08-21,11:15,NQ,short,19771.6,19629.69,19,19816.46,19631.11,4.4,FVG,London/NY Overlap,A+ setup|Plan followed,"Clean sweep of Asia low, entered on the retrace.",FTMO 100K,,,,
trade,,2026-08-21,10:44,XAUUSD,long,2503.04,2521.83,144,2494.48,2521.62,7,FVG,New York AM,A+ setup|Plan followed,"Clean sweep of Asia low, entered on the retrace.",Topstep 50K,,,,
trade,,2026-08-24,07:20,XAUUSD,long,2517.12,2533.13,143,2510.69,2534.8,7,Order Block,London,Plan followed,A+ model. No hesitation on entry.,,,,,
trade,,2026-08-24,07:21,GBPUSD,short,1.30589,1.30208,149383,1.308,1.30172,6,Order Block,London,A+ setup|Plan followed,A+ model. No hesitation on entry.,FTMO 100K,,,,
trade,,2026-08-24,11:09,ES,long,5588.53,5582.75,70,5582.86,5605.58,4.2,Silver Bullet,London,Plan followed,Stopped to the tick before it ran. Entry was early.,Apex 150K,,,,
trade,,2026-08-26,11:20,EURUSD,long,1.08872,1.0926,119638,1.08731,1.09282,6,Silver Bullet,New York PM,Plan followed,"Partialed at 2R, runner to full target.",FTMO 100K,,,,
trade,,2026-08-26,12:32,NQ,long,19891.36,19953.68,25,19855.59,19947.38,4.4,FVG,New York PM,A+ setup|Plan followed,"Clean sweep of Asia low, entered on the retrace.",,,,,
trade,,2026-08-27,10:20,NQ,short,19712.83,19733.74,23,19733.93,19680.49,4.4,Judas Swing,London/NY Overlap,Plan followed,Stopped to the tick before it ran. Entry was early.,FTMO 100K,,,,
trade,,2026-08-27,13:14,GBPUSD,long,1.32082,1.31756,147716,1.31745,1.32858,6,Judas Swing,New York PM,Plan followed,News spike took the stop. Sized correctly so damage contained.,,,,,
payout,FTMO 100K,2026-05-21,,,,,,,,,,,,,First payout,,1850,,Wise,"₹1,72,050"
payout,FTMO 100K,2026-06-20,,,,,,,,,,,,,,,2240,,Wise,"₹2,08,320"
payout,FTMO 100K,2026-07-21,,,,,,,,,,,,,,,2760,,Rise,"₹2,56,680"
payout,FTMO 100K,2026-08-21,,,,,,,,,,,,,Best month so far,,3125,,Rise,"₹2,90,625"
payout,Topstep 50K,2026-08-06,,,,,,,,,,,,,First Topstep payout,,1040,,Wire transfer,
payout,Apex 150K,2026-06-08,,,,,,,,,,,,,Only payout before the account failed,,620,,Deel,
expense,FTMO 100K,2026-05-01,,,,,,,,,,,,,2-step evaluation,,540,Challenge fee,,
expense,FTMO 100K,2026-05-29,,,,,,,,,,,,,,,39,Data fee,,
expense,FTMO 100K,2026-06-28,,,,,,,,,,,,,,,39,Data fee,,
expense,FTMO 100K,2026-07-28,,,,,,,,,,,,,,,39,Data fee,,
expense,Topstep 50K,2026-05-07,,,,,,,,,,,,,Monthly eval,,49,Challenge fee,,
expense,Topstep 50K,2026-06-06,,,,,,,,,,,,,,,49,Challenge fee,,
expense,Topstep 50K,2026-07-06,,,,,,,,,,,,,,,49,Challenge fee,,
expense,Topstep 50K,2026-08-01,,,,,,,,,,,,,Funded activation,,149,Activation fee,,
expense,Apex 150K,2026-04-29,,,,,,,,,,,,,,,167,Challenge fee,,
expense,Apex 150K,2026-05-24,,,,,,,,,,,,,Blew the eval on news,,167,Reset fee,,
expense,Apex 150K,2026-06-18,,,,,,,,,,,,,,,167,Reset fee,,
